epoch,loss,mean_accuracy,mean_iou,step,val_loss,val_mean_accuracy,val_mean_iou
0,0.07256624102592468,1.0,1.0,49,,,
0,,,,50,0.038730449974536896,1.0,1.0
1,0.012699354439973831,1.0,1.0,99,,,
1,,,,101,0.010290021076798439,1.0,1.0
2,0.0064337048679590225,1.0,1.0,149,,,
2,,,,152,0.005220142193138599,1.0,1.0
3,0.003390159923583269,1.0,1.0,199,,,
3,,,,203,0.0032148610334843397,1.0,1.0
4,0.0025953759904950857,1.0,1.0,249,,,
4,,,,254,0.0022183023393154144,1.0,1.0
5,0.0016933096339926124,1.0,1.0,299,,,
5,,,,305,0.0016382759204134345,1.0,1.0
6,0.0013732688967138529,1.0,1.0,349,,,
6,,,,356,0.001266125007532537,1.0,1.0
7,0.0011081233387812972,1.0,1.0,399,,,
